Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Chauncey Billups,19303.0,141.70000000000002,NOHOF,0,1274.0,0.1413478260869565,1998.0,6843.0,1322.0,204.0,2666.0,0.3981739130434783,0.8895217391304348,109.10000000000001,32.7,PG,3611.0,15.15149136577708,0,5.3712715855573,1.0376766091051806,0.16012558869701726,2.0926216640502355,2.8343799058084773
Chris Paul,15610.0,154.7,NOHOF,0,834.0,0.24924999999999997,2006.0,8251.0,1911.0,90.0,2024.0,0.4719166666666666,0.8664999999999999,114.80000000000001,39.900000000000006,PG,3684.0,18.717026378896882,0,9.893285371702637,2.29136690647482,0.1079136690647482,2.4268585131894485,4.41726618705036
Dirk Nowitzki,30260.0,201.3,NOHOF,0,1394.0,0.1869473684210526,1999.0,3496.0,1158.0,1218.0,2425.0,0.46884210526315795,0.8740526315789473,141.59999999999997,59.59999999999999,PF,10893.0,21.70731707317073,1,2.5078909612625537,0.830703012912482,0.8737446197991392,1.7395982783357244,7.814203730272597
Kevin Garnett,26394.0,193.39999999999998,NOHOF,0,1509.0,0.16621739130434782,1996.0,5522.0,1905.0,2054.0,3225.0,0.4966086956521739,0.7746956521739131,100.4,92.99999999999999,SF,14973.0,17.491053677932406,1,3.659377070907886,1.2624254473161034,1.361166335321405,2.137176938369781,9.922465208747514
Kobe Bryant,33643.0,172.59999999999997,NOHOF,0,1346.0,0.1449,1997.0,6306.0,1944.0,640.0,4010.0,0.44139999999999996,0.8349499999999999,122.29999999999998,50.6,SG,7047.0,24.994799405646358,1,4.684992570579495,1.4442793462109955,0.475482912332838,2.9791976225854384,5.235512630014859
LeBron James,28787.0,205.60000000000002,NOHOF,0,1061.0,0.2405714285714286,2004.0,7461.0,1749.0,817.0,3619.0,0.5035714285714284,0.7390714285714285,143.8,61.6,SG,7707.0,27.131950989632422,4,7.032045240339302,1.648444863336475,0.7700282752120641,3.410933081998115,7.263901979264844
Pau Gasol,21247.0,145.3,NOHOF,0,1185.0,0.16827777777777778,2002.0,3846.0,607.0,1945.0,2638.0,0.5129444444444444,0.7608333333333335,93.1,52.5,C,11102.0,17.929957805907172,0,3.2455696202531645,0.5122362869198313,1.641350210970464,2.226160337552743,9.368776371308018
Paul Pierce,26397.0,150.2,NOHOF,0,1343.0,0.14500000000000002,1999.0,4708.0,1752.0,745.0,3532.0,0.44157894736842107,0.8049473684210527,86.9,63.29999999999999,SF,7527.0,19.655249441548772,0,3.505584512285927,1.304542069992554,0.5547282204020849,2.629932985852569,5.604616530156366
Ray Allen,26218.0,154.29999999999998,NOHOF,0,1376.0,0.1494,1997.0,4695.0,1554.0,258.0,2907.0,0.45120000000000005,0.8975000000000002,119.2,34.9,SG,5653.0,19.05377906976744,0,3.412063953488372,1.129360465116279,0.1875,2.1126453488372094,4.1082848837209305
Shawn Marion,19563.0,137.6,NOHOF,0,1295.0,0.13615000000000002,2000.0,2475.0,1972.0,1384.0,1941.0,0.4850499999999999,0.79035,69.4,68.4,SF,11333.0,15.106563706563707,0,1.9111969111969112,1.5227799227799228,1.0687258687258687,1.4988416988416988,8.751351351351351
Tim Duncan,26496.0,206.29999999999998,NOHOF,0,1392.0,0.20610526315789468,1998.0,4225.0,1025.0,3020.0,3381.0,0.504421052631579,0.7012105263157895,100.00000000000001,106.4,PF,15091.0,19.03448275862069,2,3.0352011494252875,0.7363505747126436,2.1695402298850577,2.4288793103448274,10.841235632183908
Vince Carter,27463.0,135.70000000000002,NOHOF,0,1497.0,0.126,1999.0,4983.0,1597.0,878.0,2731.0,0.43104347826086964,0.7905217391304349,87.60000000000001,47.89999999999999,SF,6816.0,18.345357381429526,0,3.3286573146292584,1.0668002672010688,0.5865063460253841,1.8243152972611891,4.55310621242485
